swenson_name,SPCD,GENUS,SPECIES,VARIETY,SUBSPECIES,trait.genus,trait.species,sp_in,sp_out,species_name,Height,Seed,Density,Nitrogen,Height_source,Height_indicator,Seed_source,Seed_indicator,Density.source,Density_indicator,Nitrogen_source,Nitrogen_indicator,NOTES
quercus_phellos,831,Quercus,phellos,,,quercus,phellos,831,831,Quercus phellos,30.48,981.8016667,0.56,1.9,USDA 2011,0,USDA 2011,0,1,0,30,1,
ginko_biloba,561,Ginkgo,biloba,,,ginko,biloba,561,561,NA,24.384,1522,0.458052,1.9,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
acer_pensylvanicum,315,Acer,pensylvanicum,,,acer,pensylvanicum,315,315,Acer pensylvanicum,10.668,39.92890581,0.44,1.9,USDA 2011,0,USDA 2011,0,1,0,29,0,
sassafras_albidum,931,Sassafras,albidum,,,sassafras,albidum,931,931,Sassafras albidum,22.86,90.718474,0.42,1.9,USDA 2011,0,USDA 2011,0,1,0,6,0,
aesculus_sylvatica,337,Aesculus,sylvatica,,,aesculus,sylvatica,337,337,Aesculus sylvatica,19.812,11339.80925,0.3922415,1.9,USDA 2011,0,USDA 2011,0,2,1,8,0,
populus_balsamifera,741,Populus,balsamifera,,,populus,balsamifera,741,741,NA,24.384,0.24,0.31,1.9,USDA 2011,0,Royal Botanical Gardens Kew 2008,0,1,0,29,0,
magnolia_tripetala,658,Magnolia,tripetala,,,magnolia,tripetala,658,658,Magnolia tripetala,9.144,263.16,0.4487,1.89,USDA 2011,0,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
carya_pallida,410,Carya,pallida,,,carya,pallida,410,410,Carya pallida,29,5080.16,0.700555556,1.88,FNA 2004,0,Swenson and Weiser 2010,1,2,1,30,1,
cotinus_obovatus,996,Cotinus,obovatus,,,cotinus,obovatus,996,996,NA,9.144,8.95,0.559425392,1.866,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
planera_aquatica,722,Planera,aquatica,,,planera,aquatica,722,722,Planera aquatica,15.24,5.234,0.559425392,1.866,USDA 2011,0,Swenson and Weiser 2010,1,2,1,30,1,
gordonia_lasianthus,555,Gordonia,lasianthus,,,gordonia,lasianthus,555,555,Gordonia lasianthus,19.812,3.359943481,0.4728,1.866,USDA 2011,0,USDA 2011,0,2,1,30,1,
oxydendrum_arboreum,711,Oxydendrum,arboreum,,,oxydendrum,arboreum,711,711,Oxydendrum arboreum,10.668,0.123426495,0.5,1.86,USDA 2011,0,USDA 2011,0,1,0,29,0,
acer_leucoderme,323,Acer,leucoderme,,,acer,leucoderme,323,323,Acer leucoderme,16.46,51.96,0.6735,1.85,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
acer_saccharum,318,Acer,saccharum,,,acer,saccharum,318,318,Acer saccharum,30.48,69.3566315,0.56,1.85,USDA 2011,0,USDA 2011,0,1,0,29,0,
acer_nigrum,314,Acer,nigrum,,,acer,nigrum,314,314,Acer nigrum,30.48,64.52238549,0.52,1.85,USDA 2011,0,USDA 2011,0,1,0,30,1,
catalpa_speciosa,452,Catalpa,speciosa,,,catalpa,speciosa,452,452,Catalpa speciosa,18.288,22.14806494,0.38,1.85,USDA 2011,0,USDA 2011,0,1,0,20,0,
nyssa_biflora,694,Nyssa,biflora,,,nyssa,biflora,694,694,Nyssa biflora,35.052,188.9968208,0.5194,1.84,USDA 2011,0,USDA 2011,0,2,1,30,1,
nyssa_sylvatica,693,Nyssa,sylvatica,,,nyssa,sylvatica,693,693,Nyssa sylvatica,28.956,134.9977292,0.46,1.84,USDA 2011,0,USDA 2011,0,1,0,29,0,
acer_rubrum,316,Acer,rubrum,,,acer,rubrum,316,316,Acer [drummondii + rubrum],20.7264,19.964,0.55,1.835,USDA 2011,0,Swenson and Weiser 2010,2,2,1,30,1,
amelanchier_arborea,357,Amelanchier,arborea,,,amelanchier,arborea,357,357,Amelanchier arborea/laevis,10.9728,5.681836482,0.7604,1.8,USDA 2011,0,USDA 2011,0,1,1,6,0,
amelanchier_spp.,356,Amelanchier,spp.,,,amelanchier,spp.,356,356,Amelanchier,7.0104,5.540872824,0.7604,1.8,derived,2,derived,2,derived,2,derived,2,
amelanchier_sanguinea,358,Amelanchier,sanguinea,,,amelanchier,sanguinea,358,358,NA,3.048,5.399909167,0.7604,1.8,USDA 2012,0,USDA 2012,0,derived,2,derived,2,
fraxinus_pennsylvanica,544,Fraxinus,pennsylvanica,,,fraxinus,pennsylvanica,544,544,Fraxinus pennsylvanica,24.384,31.67544483,0.53,1.8,USDA 2011,0,USDA 2011,0,1,0,29,0,
prunus_avium,771,Prunus,avium,,,prunus,avium,771,771,NA,32,187,0.474,1.8,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,1,0,11,0,
quercus_bicolor,804,Quercus,bicolor,,,quercus,bicolor,804,804,NA,30.48,3779.936417,0.66,1.78,USDA 2011,0,USDA 2011,0,1,0,30,1,
quercus_lyrata,822,Quercus,lyrata,,,quercus,lyrata,822,822,Quercus lyrata,24.384,3239.9455,0.57,1.78,USDA 2011,0,USDA 2011,0,1,0,30,1,
nyssa_ogeche,692,Nyssa,ogeche,,,nyssa,ogeche,692,692,NA,15.24,368.7742846,0.46,1.74,USDA 2011,0,USDA 2011,0,2,1,30,1,
betula_populifolia,379,Betula,populifolia,,,betula,populifolia,379,379,NA,7.62,0.106577155,0.45,1.74,USDA 2011,0,USDA 2011,0,1,0,29,0,
melia_azedarach,993,Melia,azedarach,,,melia,azedarach,993,993,Melia azedarach,15.24,348,0.3829728,1.74,USDA 2011,0,Royal Botanical Gardens Kew 2008,0,1,0,30,1,
quercus_similis,836,Quercus,similis,,,quercus,similis,836,836,Quercus similis,25,1193.66,0.74,1.73,FNA 2004,0,Swenson and Weiser 2010,1,2,1,30,1,
crataegus_crus_galli,501,Crataegus,crus-galli,,,crataegus,crus_galli,501,501,Crataegus crus-galli,9.144,90.718474,0.7194,1.73,USDA 2011,0,USDA 2011,0,2,1,30,1,
crataegus_spp.,500,Crataegus,spp.,,,crataegus,spp.,500,500,Crataegus,12.497,90.519237,0.71765,1.73,derived,2,derived,2,derived,2,derived,2,
crataegus_mollis,502,Crataegus,mollis,,,crataegus,mollis,502,502,NA,15.85,90.32,0.7159,1.73,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
quercus_coccinea,806,Quercus,coccinea,,,quercus,coccinea,806,806,Quercus coccinea,21.336,1930.180298,0.6,1.73,USDA 2011,0,USDA 2011,0,1,0,29,0,
quercus_stellata,835,Quercus,stellata,,,quercus,stellata,835,835,Quercus stellata,18.288,1193.664132,0.6,1.73,USDA 2011,0,USDA 2011,0,1,0,29,0,
catalpa_spp.,450,Catalpa,spp.,,,catalpa,spp.,450,450,NA,19.2024,22.14806494,0.3706,1.725,derived,2,derived,2,derived,2,derived,2,
bursera_simaruba,854,Bursera,simaruba,,,bursera,simaruba,854,854,NA,12.192,117,0.24,1.72,USDA 2011,0,Swenson and Weiser 2010,1,2,1,30,1,
quercus_shumardii,834,Quercus,shumardii,,,quercus,shumardii,834,834,Quercus shumardii,30.48,4535.9237,0.644,1.68,USDA 2011,0,USDA 2011,0,1,0,29,0,
nyssa_aquatica,691,Nyssa,aquatica,,,nyssa,aquatica,691,691,Nyssa aquatica,30.48,944.9841042,0.46,1.67,USDA 2011,0,USDA 2011,0,1,0,30,1,
salix_bebbiana,923,Salix,bebbiana,,,salix,bebbiana,923,923,NA,3.6576,0.18,0.36,1.67,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,15,0,
quercus_oglethorpensis,844,Quercus,oglethorpensis,,,quercus,oglethorpensis,844,844,NA,24.08,2742.87,0.862,1.66,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
quercus_prinoides,845,Quercus,prinoides,,,quercus,prinoides,845,845,NA,7.62,1133.98,0.8005,1.66,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
carya_glabra,403,Carya,glabra,,,carya,glabra,403,403,Carya glabra,24.384,2267.96185,0.66,1.66,USDA 2011,0,USDA 2011,0,1,0,29,0,
populus_alba,752,Populus,alba,,,populus,alba,752,752,NA,30.48,0.12,0.35301,1.66,USDA 2011,0,Swenson and Weiser 2010,1,2,1,30,1,
persea_spp.,720,Persea,spp.,,,persea,spp.,720,720,NA,21.336,215.9963667,0.6429,1.64,derived,2,derived,2,derived,2,derived,2,
persea_borbonia,721,Persea,borbonia,,,persea,borbonia,721,721,Persea borbonia,21.336,215.9963667,0.6429,1.64,USDA 2011,0,USDA 2011,0,2,1,29,0,
juniperus_virginiana,68,Juniperus,virginiana,,,juniperus,virginiana,68,68,Juniperus virginiana,15.24,10.40349472,0.44,1.64,USDA 2011,0,USDA 2011,0,1,0,20,0,
salix_sepulcralis,929,Salix,sepulcralis,,,salix,sepulcralis,929,929,NA,24.384,0.12,0.28413,1.64,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
salix_alba,927,Salix,alba,,,salix,alba,927,927,NA,21.336,0.12,0.284,1.64,USDA 2011,0,Royal Botanical Gardens Kew 2008,0,1,0,4,0,
quercus_spp.,800,Quercus,spp.,,,quercus,spp.,800,800,Quercus,21.600725,2115.428541,0.650913822,1.6265625,derived,2,derived,2,derived,2,derived,2,
malus_coronaria,663,Malus,coronaria,,,malus,coronaria,663,663,Malus coronaria,9,32.85,0.763,1.62,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,26,0,
malus_ioensis,664,Malus,ioensis,,,malus,ioensis,664,664,NA,7.62,15.11974567,0.763,1.62,USDA 2012,0,USDA 2012,0,2,1,30,1,
malus_spp.,660,Malus,spp.,,,malus,spp.,660,660,NA,8.588,21.76324856,0.705266667,1.62,derived,2,derived,2,derived,2,derived,2,
malus_angustifolia,662,Malus,angustifolia,,,malus,angustifolia,662,662,Malus angustifolia,9.144,17.32,0.5898,1.62,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
acer_platanoides,320,Acer,platanoides,,,acer,platanoides,320,320,NA,15.24,171.8152917,0.525,1.62,USDA 2011,0,USDA 2011,0,1,0,29,0,
quercus_margarettae,840,Quercus,margarettiae,,,quercus,margarettae,840,840,Quercus margaretta,16,1306.55,0.756,1.6,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,1,0,30,1,
cinnamomum_camphora,858,Cinnamomum,camphora,,,cinnamomum,camphora,858,858,NA,15,108,0.62,1.6,FNA 2004,0,Royal Botanical Gardens Kew 2008,0,1,0,19,0,
catalpa_bignonioides,451,Catalpa,bignonioides,,,catalpa,bignonioides,451,451,Catalpa bignonioides,20.1168,22.14806494,0.3612,1.6,USDA 2011,0,USDA 2011,0,1,0,34,0,
quercus_michauxii,825,Quercus,michauxii,,,quercus,michauxii,825,825,Quercus michauxii,24.384,5336.380824,0.6,1.59,USDA 2011,0,USDA 2011,0,1,0,26,0,
abies_fraseri,16,Abies,fraseri,,,abies,fraseri,16,16,Abies fraseri,16.764,7.460400822,0.5,1.56,USDA 2011,0,USDA 2011,0,2,1,30,1,
quercus_laevis,819,Quercus,laevis,,,quercus,laevis,819,819,Quercus laevis,12.192,1148.335114,0.639,1.53,USDA 2011,0,USDA 2011,0,1,0,29,0,
quercus_prinus,832,Quercus,prinus,,,quercus,prinus,832,832,Quercus montana,22.2504,4535.9237,0.67,1.5,USDA 2011,0,USDA 2011,0,2,1,29,0,
cladrastis_kentukea,481,Cladrastis,kentukea,,,cladrastis,kentukea,481,481,Cladrastis kentukea,12.192,37.79936417,0.6278,1.5,USDA 2011,0,USDA 2011,0,2,1,31,0,
melaleuca_quinquenervia,992,Melaleuca,quinquenervia,,,melaleuca,quinquenervia,992,992,NA,30.48,0.22,0.57,1.5,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
pinus_taeda,131,Pinus,taeda,,,pinus,taeda,131,131,Pinus taeda,30.48,24.65175924,0.47,1.5,USDA 2011,0,USDA 2011,0,1,0,21,0,
pinus_virginiana,132,Pinus,virginiana,,,pinus,virginiana,132,132,Pinus virginiana,21.336,8.696172738,0.45,1.5,USDA 2011,0,USDA 2011,0,1,0,30,1,
quercus_falcata,812,Quercus,falcata,,,quercus,falcata,812,812,Quercus falcata,22.86,839.9858704,0.52,1.47,USDA 2011,0,USDA 2011,0,1,0,29,0,
liquidambar_styraciflua,611,Liquidambar,styraciflua,,,liquidambar,styraciflua,611,611,Liquidambar styraciflua,30.48,5.526222831,0.46,1.451,USDA 2011,0,USDA 2011,0,1,0,29,0,
pinus_pungens,123,Pinus,pungens,,,pinus,pungens,123,123,Pinus pungens,15.24,13.2629348,0.49,1.45,USDA 2013,0,USDA 2011,0,1,0,30,1,
pinus_clausa,107,Pinus,clausa,,,pinus,clausa,107,107,Pinus clausa,24.384,6.031813431,0.46,1.45,USDA 2011,0,USDA 2011,0,1,0,30,1,
pinus_glabra,115,Pinus,glabra,,,pinus,glabra,115,115,Pinus glabra,27.432,9.775697629,0.41,1.45,USDA 2011,0,USDA 2011,0,1,0,30,1,
quercus_sinuata,808,Quercus,sinuata,sinuata,,quercus,sinuata,808,808,NA,27.432,1567,0.61,1.44,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
quercus_pagoda,813,Quercus,pagoda,,,quercus,pagoda,813,813,Quercus pagoda,36.576,782.0558103,0.61,1.44,USDA 2011,0,USDA 2011,0,2,1,26,0,
abies_spp.,10,Abies,spp.,,,abies,spp.,10,10,NA,17.526,7.52024361,0.415,1.425,derived,2,derived,2,derived,2,derived,2,
quercus_ilicifolia,816,Quercus,ilicifolia,,,quercus,ilicifolia,816,816,Quercus ilicifolia,12.5,648.49,0.703,1.4,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,26,0,
cornus_florida,491,Cornus,florida,,,cornus,florida,491,491,Cornus florida,9.144,101.2482969,0.64,1.4,USDA 2011,0,USDA 2011,0,1,0,29,0,
pinus_sylvestris,130,Pinus,sylvestris,,,pinus,sylvestris,130,130,NA,33.528,6.413919259,0.393,1.39,USDA 2011,0,USDA 2011,0,1,0,20,0,
quercus_marilandica,824,Quercus,marilandica,,,quercus,marilandica,824,824,Quercus marilandica,7.62,647.9891,0.7324,1.38,USDA 2011,0,USDA 2011,0,2,1,11,0,
quercus_velutina,837,Quercus,velutina,,,quercus,velutina,837,837,Quercus velutina,24.384,1851.397429,0.56,1.38,USDA 2011,0,USDA 2011,0,1,0,29,0,
pinus_strobus,129,Pinus,strobus,,,pinus,strobus,129,129,Pinus strobus,45.72,16.77486575,0.34,1.35,USDA 2011,0,USDA 2011,0,1,0,29,0,
magnolia_grandiflora,652,Magnolia,grandiflora,,,magnolia,grandiflora,652,652,Magnolia grandiflora,30.48,70.87380781,0.37,1.34,USDA 2011,0,USDA 2011,0,1,0,29,0,
picea_pungens,96,Picea,pungens,,,picea,pungens,96,96,NA,30.48,4.275946173,0.41,1.33,USDA 2011,0,USDA 2011,0,2,1,18,0,
magnolia_spp.,650,Magnolia,spp.,,,magnolia,spp.,650,650,NA,23.87533333,124.1650712,0.42145,1.323,derived,2,derived,2,derived,2,derived,2,
quercus_virginiana,838,Quercus,virginiana,,,quercus,virginiana,838,838,Quercus virginiana,15.24,1288.614688,0.8,1.32,USDA 2011,0,USDA 2011,0,1,0,29,0,
quercus_laurifolia,820,Quercus,laurifolia,,,quercus,laurifolia,820,820,Quercus laurifolia,21.336,809.986375,0.56,1.32,USDA 2011,0,USDA 2011,0,1,0,29,0,
sabal_palmetto,912,Sabal,palmetto,,,sabal,palmetto,912,912,Sabal palmetto,27.432,270.8014149,0.44,1.32,USDA 2011,0,USDA 2011,0,2,1,30,1,
conocarpus_erectus,987,Conocarpus,erectus,,,conocarpus,erectus,987,987,NA,4,3.3,0.85,1.3,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
quercus_nigra,827,Quercus,nigra,,,quercus,nigra,827,827,Quercus nigra,27.432,1148.335114,0.56,1.29,USDA 2011,0,USDA 2011,0,1,0,29,0,
abies_balsamea,12,Abies,balsamea,,,abies,balsamea,12,12,NA,18.288,7.580086397,0.33,1.29,USDA 2011,0,USDA 2011,0,1,0,26,0,
thuja_occidentalis,241,Thuja,occidentalis,,,thuja,occidentalis,241,241,NA,15.24,1.312477922,0.29,1.28,USDA 2011,0,USDA 2011,0,1,0,20,0,
pinus_banksiana,105,Pinus,banksiana,,,pinus,banksiana,105,105,NA,24.384,3.461480235,0.4,1.24,USDA 2011,0,USDA 2011,0,1,0,20,0,
paulownia_tomentosa,712,Paulownia,tomentosa,,,paulownia,tomentosa,712,712,Paulownia tomentosa,21.336,0.160848358,0.28,1.234,USDA 2011,0,USDA 2011,0,1,0,30,1,
picea_glauca,94,Picea,glauca,,,picea,glauca,94,94,NA,30.48,2.433435461,0.33,1.2,USDA 2011,0,USDA 2011,0,1,0,29,0,
taxodium_distichum,221,Taxodium,distichum,,,taxodium,distichum,221,221,Taxodium distichum,39.624,87.22930192,0.42,1.19,USDA 2011,0,USDA 2011,0,1,0,29,0,
picea_abies,91,Picea,abies,,,picea,abies,91,91,NA,39.624,7.087380781,0.37,1.19,USDA 2011,0,USDA 2011,0,1,0,29,0,
pinus_nigra,136,Pinus,nigra,,,pinus,nigra,136,136,NA,36.576,17.39234548,0.42,1.18,USDA 2011,0,USDA 2011,0,1,0,29,0,
juniperus_monosperma,69,Juniperus,monosperma,,,juniperus,monosperma,69,69,NA,12.192,25.72843846,0.61,1.17,USDA 2013,0,USDA 2013,0,2,1,30,1,
pinus_resinosa,125,Pinus,resinosa,,,pinus,resinosa,125,125,NA,24.384,8.696172738,0.41,1.17,USDA 2011,0,USDA 2011,0,1,0,20,0,
pinus_rigida,126,Pinus,rigida,,,pinus,rigida,126,126,Pinus rigida,24.384,7.306578125,0.47,1.16,USDA 2011,0,USDA 2011,0,1,0,29,0,
picea_spp.,90,Picea,spp.,,,picea,spp.,90,90,NA,31.75,3.586031777,0.368333333,1.145,derived,2,derived,2,derived,2,derived,2,
ilex_opaca,591,Ilex,opaca,,,ilex,opaca,591,591,Ilex opaca,12.192,15.95470876,0.5,1.119,USDA 2011,0,USDA 2011,0,1,0,29,0,
pinus_elliottii,111,Pinus,elliottii,,,pinus,elliottii,111,111,Pinus elliottii,30.48,31.32543992,0.54,1.11,USDA 2011,0,USDA 2011,0,1,0,35,0,
picea_rubens,97,Picea,rubens,,,picea,rubens,97,97,Picea rubens,33.528,3.2399455,0.37,1.1,USDA 2011,0,USDA 2011,0,1,0,14,0,
pseudotsuga_menziesii,202,Pseudotsuga,menziesii,,,pseudotsuga,menziesii,202,202,NA,60.96,10.77928636,0.428,1.08,USDA 2011,0,USDA 2011,0,1,0,29,0,
pinus_echinata,110,Pinus,echinata,,,pinus,echinata,110,110,Pinus echinata,30.48,9.449841042,0.47,1.07,USDA 2011,0,USDA 2011,0,1,0,11,0,
taxodium_ascendens,222,Taxodium,ascendens,,,taxodium,ascendens,222,222,Taxodium ascendens,30.48,90.718474,0.5,1.06,USDA 2011,0,USDA 2011,0,2,1,2,0,
triadica_sebifera,994,Triadica,sebifera,,,triadica,sebifera,994,994,Triadica sebifera,14,133,0.401,1.05,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
picea_engelmannii,93,Picea,engelmannii,,,picea,engelmannii,93,93,NA,36.576,3.358948238,0.35,1.03,USDA 2012,0,USDA 2012,0,2,1,30,1,
rhizophora_mangle,989,Rhizophora,mangle,,,rhizophora,mangle,989,989,NA,30.48,10100,0.84,1.02,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
swietenia_mahagoni,940,Swietenia,mahagoni,,,swietenia,mahagoni,940,940,NA,18.288,62.47828788,0.75,1.02,USDA 2011,0,USDA 2011,0,2,1,30,1,
picea_mariana,95,Picea,mariana,,,picea,mariana,95,95,NA,19.812,1.120534511,0.38,1.02,USDA 2011,0,USDA 2011,0,1,0,29,0,
quercus_texana,828,Quercus,texana,,,quercus,texana,828,828,NA,25,4785,0.642342308,0.99,FNA 2004,0,Royal Botanical Gardens Kew 2008,0,derived,2,31,0,
tsuga_caroliniana,262,Tsuga,caroliniana,,,tsuga,caroliniana,262,262,Tsuga caroliniana,19.812,5.271265195,0.38,0.99,USDA 2011,0,USDA 2011,0,2,1,30,1,
tsuga_spp.,260,Tsuga,spp.,,,tsuga,spp.,260,260,NA,25.908,3.84715068,0.38,0.99,derived,2,derived,2,derived,2,derived,2,
tsuga_canadensis,261,Tsuga,canadensis,,,tsuga,canadensis,261,261,Tsuga canadensis,32.004,2.423036165,0.38,0.99,USDA 2011,0,USDA 2011,0,1,0,29,0,
pinus_ponderosa,122,Pinus,ponderosa,,,pinus,ponderosa,122,122,NA,67.9704,37.79936417,0.42,0.966,USDA 2011,0,USDA 2011,0,2,1,30,1,
quercus_incana,842,Quercus,incana,,,quercus,incana,842,842,Quercus incana,10.688,1000,0.71,0.95,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,1,0,29,0,
quercus_minima,841,Quercus,minima,,,quercus,minima,841,841,NA,2,1154.1525,0.89,0.89,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
pinus_palustris,121,Pinus,palustris,,,pinus,palustris,121,121,Pinus palustris,36.576,106.9793325,0.54,0.82,USDA 2011,0,USDA 2011,0,1,0,29,0,
pinus_serotina,128,Pinus,serotina,,,pinus,serotina,128,128,Pinus serotina,24.384,8.338095037,0.51,0.82,USDA 2011,0,USDA 2011,0,1,0,30,1,
chamaecyparis_thyoides,43,Chamaecyparis,thyoides,,,chamaecyparis,thyoides,43,43,Chamaecyparis thyoides,15.24,0.98607037,0.31,0.742,USDA 2011,0,USDA 2011,0,1,0,17,0,
magnolia_acuminata,651,Magnolia,acuminata,,,magnolia,acuminata,651,651,Magnolia acuminata,30.48,83.2279578,0.44,1.89,USDA 2011,0,USDA 2011,0,1,0,30,1,Nitrogen originally given as 0.189.  Changed to 1.89 to match other Magnolias because this values was an outlier even among all trees.
magnolia_virginiana,653,Magnolia,virginiana,,,magnolia,virginiana,653,653,Magnolia virginiana,18.288,60.23803054,0.42,1.89,USDA 2011,0,USDA 2011,0,1,0,30,1,Nitrogen originally given as 0.189.  Changed to 1.89 to match other Magnolias because this values was an outlier even among all trees.
